"","Parameter","Abbrev"
"1","Total Alkalinity","Alkalinity"
"2","Wind Direction","WIND_D"
"3","Chlorophyll a, Uncorrected (Trichromatic)","CHLa_UnC"
"4","Total Nitrogen","TN"
"5","Total Suspended Solids","TSS"
"6","Fluoride","Fluoride"
"7","Organic Carbon","W-TOC"
"8","Air temperature","ATEMP"
"9","Wind Speed","WIND_S"
"10","Water temperature","WTEM"
"11","Ammonia as Nitrogen, Dissolved","NH4_N"
"12","Chlorophyll a, Corrected (Monochromatic)","CHLa_C"
"13","Chlorophyll b (Trichromatic)","CHLb_Tri_N"
"14","Chlorophyll c (Trichromatic)","CHLc_Tri_N"
"15","Nitrate+Nitrite","NO23F"
"16","Turbidity","Turbidity"
"17","Secchi Disk","SECCHI"
"18","Water Depth","WDEPTH"
"19","Specific Conductance","SpCond"
"20","pH","pH"
"21","Dissolved oxygen","DO"
"22","Dissolved oxygen, percent saturation","DO_p"
"23","Salinity","SALT"
"24","Coliform, Fecal","FECCOL"
"25","Enterococcus","ENTERO"
"26","Kjeldahl Nitrogen, Dissolved","DTKN"
"27","Total Phosphorus","TP"
"28","Kjeldahl Nitrogen","TKN"
"29","OD664b/OD665a","OD664b/OD665a"
"30","Pheophytin a","PHEA"
"31","human-specific HF183 Bacteroides genetic marker","HF183"
"32","Fluridone","Fluridone"
"33","Linuron","Linuron"
"34","Methylchlorophenoxypropionic acid","MCPP"
"35","Naproxen","Naproxen"
"36","2,4-Dichlorophenoxyacetic acid","2, 4-D"
"37","Triclopyr","Triclopyr"
"38","TDS","W-TDS"
"39","Chloride","W-CL-IC"
"40","Sulfate","W-SO4-IC"
"41","Sucralose","Sucra"
"42","Acetaminophen","Aceta"
"43","Bentazon","Bentazon"
"44","Carbamazepine","Carbamazepine"
"45","Diuron","Diuron"
"46","Fenuron","Fenuron"
"47","Hydrocodone","Hydrocodone"
"48","Ibuprofen","Ibuprofen"
"49","Imazapyr","Imazapyr"
"50","Imidacloprid","Imidacloprid"
"51","Primidone","Primidone"
"52","Pyraclostrobin","Pyraclostrobin"
"53","Color (true)","W-COLOR"
"54","coastal bird specific Catellicoccus marimammalium Gull2 genetic marker","GULL2"
"55","bird specific Helicobacter GFD genetic marker","GFD"
"56","Bromide","W-BR-IC"
"57","Ruminant specific Bacteroidetes BacR genetic marker","BacR"
"58","canine-specific DG3 Bacteroides genetic marker","DG3"
